question,previewContents
섬 이름 질문,유튜브보다 자연경관이 아름다워서 궁금해지네요 https://youtu.be/8KNncs4rERg 여기서 봤어요!
호주는 어느 조산대에 속하나요,호주의 지형 특징이랑 같이 알려주세요 간단하게 빨리 답변주세요
내공 30) 태몽 해석좀 해주세요,여자입니다 제 태몽이 저희 엄마께서 스위스나 네덜란드같은 꽃이핀 예쁜 정원이 있는집을 다이아몬드 귀걸이와 목걸이를 하고 들어갔는데 그 다이아몬드 귀걸이랑 목걸이가 유난히 빤짝빤짝거렸다는데 이게 무슨 내용인가요?
칼리보공항↔리조트 픽업 문의,안녕하세요^^ 보라카이 가족자유여행 계획중인데 픽업서비스를 미리 다 예약하려고 하거든요~ 여행 계획짜는게 처음이라ㅜ .ㅜ 좀 도와주세요... 1) 밤도착 비행기 : 칼리보공항→ 공항근처숙소 2) 공항근처숙소에서 아침조식 후 : 공항근처숙소 → 샹그릴라리조트 3) 샹그릴라리조트에서 1박 후 : 샹그릴라리조트 → 디스커버리쇼어 4) 디스커버리쇼어에서 2박 후 : 디스커버리쇼어 → 칼리보공항 1) 공항근처숙소 추천 부탁드리고 거기까지 가는 교통수단은 어떻게 미리 신청하나요? ※ 마르존 호텔은 이미 예약이 다 찼더라구요.....
봄비에불어터진 진달래꽃,봄비에불어터진 진달래꽃
삼포 해수욕장 관련 질문!,제가 7월10일에 삼포 해수욕장에 가려는데... 강아지 데리고 가도되나요? 큰튜브(보트모양) 를 가져갈건데 바람을 넣을곳이 있을까요? 돗자리는 챙겨갈건데 파라솔을 빌려주는 곳이 있을까요? 후하게 내공 100걸게용
제트스파와 월풀스파!,제트스파인지 월풀인지 스파있는 펜션 을 가는데요! 스파할때 물때나 그런게 신경쓰여서 욕조를 한번 닦고 쓰고 싶은데 수세미로 욕조 닦고 물받고 버린다음 다시 물받아서 사용할수있나요? 물을 버릴수 있는건지 아니면 물을 버리면 그 물이 정화되서 다시 나오는 건가요?
황금바다일출 사각대형사진조명액자,황금바다일출 사각대형사진조명액자 옥택연이 주연한 더게임에 나오는 오택연 방에 걸려있는 조명액자를 어디서 구할수 있을까요?
화산 여행하천 하류 질문이요,백두산북한산황허강 질문이요ㅠ (과로) 다 채워주세요ㅠㅠ
디그니타스 조건,말 그대로 디그니타스에서 조력자살을 받기 위한 조건이 얼마나 까다로운가 알고 싶습니다... 지금은 반려동물들 때문에 억지로 살지만 한 10년 뒤에는 꼭 조력자살에 성공해서 이 세상에 존재하고 싶지 않습니다. 정말이지 뭘 해도 삶이 지긋지긋하고 노인이 되기 전에 무조건 죽어야만 합니다... 태어난 것도 억울해 죽겠는데 죽는 것 까지 선택 못하고 진짜 ㅈ같습니다... 정신과 치료 심리치료 온갖 것들 다 받았지만 살기 싫다는 생각은 12년 이상 변한 적이 없어요. 제가 아는 거라고는 디그니타스에서 독일어를 주로 사용한다는 것...
휨모멘트와 굽힘모멘트의 차이가 무엇인가요? (내공20),굽힘모멘트는 완벽히 숙지했는데 휨모멘트랑 굽힘모멘트와의 차이점을 모르겠습니다. 내공20드립니다 성실한 답변 부탁드립니다!!!!
러시아 불곰 몸값,러시아불곰같은거 보면 사람들이 돈내고 데려와서 키우던데 러시아에서 곰은 얼마정도로 팔리는건가요?
답 변 기 다 려 요,거제에서 놀러와펜션 혹은 호텔 디럭스 에서 6명 정도 1박 하려고 하는데요. 미성년자 입니다. 코로나 19 사태가 끝이 나면 놀러갈 계획으로 짜고 있어요. 숙박을 하는 미성년자인 경우 이성간은 법적으로 불가능 하지만 동성간의 숙박은 허용되어 있다고 알고 있습니다. 아마 놀러와펜션과 호텔 디럭스 모두 저희끼리 체크인 하는건 불가능 할거 같긴 같아요 놀러와펜션에서 부모님이 체크인만 해주시고 저희끼리 1박 하는건 가능한가요? 호텔 디럭스에서 부모님이 체크인만 해주시고 저희끼리 1박 하는건 가능한가요?
부산 영예고에 관한 질문이요ㅠㅠ,제가 지금 중 3인데 학교 내신이 완전 낮은데도 갈 수 있나요? 특별전용이랑 일반전용으로 원서 넣는건 무슨 차이에요..? 아 학교 분위기 같은 것도 좀 알려주세요..
불꽃반응 실험 불꽃색 내공100,불꽃반응 실험 두가지에서 한 가지는 원소를 불꽃의 겉불꽃에 넣는 것이 있고 한 가지는 원소에 점화기로 불을 붙이는게 있는데 여기서 원소를 겉불꽃에 넣어야 온도가 높고 무색이므로 색을 잘 관찰할 수 있다고 배웠습니다. 근데 아예 원소에 점화기로 불을 붙이면 색깔을 잘 관찰할 수 있나요?? 점화기에서 나온 불꽃이 무색인건가요?? 원소에 불을 붙여도 불꽃색을 정확히 관찰할 수 있는지 점화기에서 나온 불꽃이 무색인지 궁금합니다
테이블정보부탁드려요,ㅠㅠ 구매링크도좋아요 내고 만땅
버스에서 창문으로 팔을 뻗고 바깥쪽에,버스에서 창문으로 팔을 뻗고 바깥쪽에서 물건을 위로 던지면 뒤쪽으로 날라가잖아요. 이건 공기저항때문인가요? 아니면 물체가 더이상 버스와 같이 운동을 하지 않기 때문인가요.
키프스프시꽃꽃말,키프스프시꽃꽃말
이번에 변산으로 바우하우스 팬션 앞에,이번에 변산으로 바우하우스 팬션 앞에있는 해수욕장에 갔는데요 바닷물이 다른 바닷물보다 너무 짜가지고 오랫동안 놀지 못했는데 원래 이렇게 많이 짠가요? 짜도 너무짜가지고 한번 물마시면 침을 계속 밷어가지고...
리디북스 1달 무료,1달 무료?그거 쓰고 있는데 대부분 1달 무료 이용하면 설정에 구독중인 항목 거기에 뜨잖아요 그래서 거기에 취소 누르면 되는데 구독 항목에 리디북스가 없는데 이거는 한달 무료 후 자동 결제 안되나요ㅕ??
2020방탄 티머니카드,혹시 제가 제주도에 사는데 제주시 삼양쪽에 방탄 티머니 카드 파는곳 있나요?ㅠㅠ급해요!!!
독일 프라이부르크 환경정책중 우리나라,1.독일 프라이부르크 환경정책중 우리나라에 도입하면 좋을 것 같은 정책 1가지이상 2.울산을 친환경도시로 만들기 위해 필요한 환경정책 3가지이상 리 과제 인데요 아무리 제가 생각을 해봐도 생각이 안나서 좀 도와주세요 ㅠㅠ내일 까지 해주시면 감사하겠습니다
호텔 러너 사원 업무는 뭔까요,코엑스 인터컨티넨탈 러너사원 채용 중인데 구체적인 업무는 뭔까요?
사막화율? 황무지율? 쓰지 못하는 땅의 비율,전체 지역의 넓이에 대해서 쓰지 못하는 지역의 넓이의 비율을 뭐라고하죠? 호주 러시아 몽골 등은 (?) 가 높다 라고 하잖아요
바르셀로나 팀전술이랑 개인전술좀 짜주세요(4.1.2.3),부탁해요ㅠㅜ
사회 동남아시아 문화지역에 관한 대표,사회 동남아시아 문화지역에 관한 대표적인 특징 3가지 이상 알려주세요ㅠㅠㅠㅠ!!!!!
대전 성남1구역 질문있습니다,현재 성남1구역 월세에서 장사하고 있습니다 이사를 언제해야 보상을 받을수 있을까요?
펜션 족구장 사고,펜션에서 족구를 하던중 사진에서 보시듯이 철심에 운동화를 관통하고 발바닥에 박혀 상처부위가 깊이 5cm정도이며 치료는 약 3주 정도입니다 펜션에서 보험은 안들어 있다고 합니다 어떻게 처리 해야하는지 의견 부탁드립니다
대구 2월 3월 호텔 정체,대구에 호텔인지 모텔인지 숙박 업소인것 같은 2월 호텔이랑 3월 호텔 많이 보이 던데 정체가 뭔가요?? 프랜차이즈 인가요?? 다른 지역에도 있나요?? 2월 호텔과 3월 호텔의 차이는 뭔가요?? 다른 월 호텔도 있나요??
화성수성삘기꽃주소,화성수성삘기꽃
전라남도에 가마솥있고 단독펜션 없나요?ㅜㅜㅜ,이번에 여름이여서 여행을 가려고 하는데 마침 삼시세끼에 나온 아궁이랑 가마솥이 너무 낭만있어서요ㅜㅜㅜㅜ 전라남도로 계획하고 있는데 추천해주세요!!!!
젠지 엘리트 아카데미 비용이 어느정도 이나요?,젠지 엘리트 아카데미 비용이 어느정도 이나요?
통합사회 통합적관점,한림공원 튤립축제 에 대해서 4가지 관점으로 리포트 작성해야하는데 도와주세요ㅠㅠ 내공 100이요
귀티나는 법,서지혜님이나 에이틴 김하나나 뷰티인사이드 강사라역처럼 우아하고 귀티나는 법 자세히 좀 알려주세요 (예쁘면 끝 이런 성의없는 답변은 사절입니다.)
일본의 오락문화에 대해 알려주세요 내공 60,노래방pc방은 꼭 넣어줘서 알려주세요
용신목 현재 상태에서 물줘야할까요 ?!(사진유),6/14일 식재해서?다음날 물주고 현재까지 물 안줬어요~ 장마철이기도하고 한달뒤 주려구용 위에 생장점은 열렸는데 아래가 조금 홀쭉한데 물줘야할까요??흙은 바짝 마르지 않았어요~~ 잘키우고파용
이 장소가 궁금해요ㅜㅜ,거의 10년전에 놀러갔던곳이라 찾기가 쉽지않네요ㅜㅜ 다음날 남이섬을 다녀와서 가평쪽이라는 기억만 있는데.. 두번째사진에서 보이는곳이 저희가 있던펜션이구요 펜션뒷쪽으로 얕은 물이라 놀기 좋고 바베큐셋트로 저렇게 고기랑 장어랑 소세지까지 주셔서 너무 잘먹고 왔거든요ㅋ 앞에 슈퍼?가 있어서 계속 사다먹은 기억도 있어요..가족들 추억이 담긴곳이라 꼭 찾고싶어요!!!!
폴란드 바르샤바에 폴댄스 학원이 있는,폴란드 바르샤바에 폴댄스 학원이 있는지 궁금합니다 처음 배우는거고 폴란드 가면 고등학생입니다
틱톡 중국 모델인듯 아시는분?,이분누구죠?
왕십리역 근처 필라테스 문의,왕십리역 근처 필라테스 괜찮은 곳 있을까요 여자친구랑 같이 할 예정이고 그룹도 좋습니다. 1달에 부담안가는 선에서 10만원 초반대까지 생각하고 있습니다. (5달 50만원처럼 몇달 한번에도 좋습니다.) 퇴근하고 수업받고 경의선 탈 예정이라 왕십리역 부근이면 좋을거같습니다. 서울에서 이런 곳 있을까요?
친구가 저에게 관심이 있나요...,중학교를 혼자와서 친구를 다시 사겼어요. 연락은 대부분 제가 하고 아주 가끔씩 먼저 연락이 와요. 그리고 저랑은 주말에 거의 놀지못해요. 매일 선약이 먼저 있대요. 저 은따인가요..혹시...?
중국 여행 코스,중국 여행 코스 짜주세쇼
울산 바닷가 찜질방,울산 시외버스터미널에 있는데 낚시 가능한 바닷가 추천해주세요. 낚시대 대여 그리고 하루 묵을 수 있는 찜질방도 근처에 있으면 좋겠습니다. 오늘 초저녁에가서 내일 저녁에 돌아올 생각입니다.
제가 이번에 친구랑 호텔에 묵게되는데,제가 이번에 친구랑 호텔에 묵게되는데요리버사이드호텔이나 스카이파크 라마다호텔 중에서 한군데를 골라 4박 정도를 생각 중이에요.근데 제가 부모님이랑 호텔에 묵은 것 말고는 따로 가본 적이 없어서호텔 방문시 주의해야할 점이 있는지 궁금해서 올려봅니다.일단 나이도 21살로 어려서 예의없는 행동을 하게될까 우려가 되서요..체크인 할때나 중간에 들락날락 거릴 시에 복장을 제대로 예의를 갖춰야하는지도 궁금하구요너무 자주 들락날락 거리면 안된다거나 아니면 들어가고 나갈때 어떤 행동을 취해야 한다거나 호텔 측에 미리...
중3ㅜㅜ과학 좀 알려주세요! ! ! !내공드림,급급급 꼭꼭드릴께요요
용인한화리조트 눈썰매장 운영여부,용인 한화리조트 눈썰매장이 새로 리모델링 해서 없어졌나요? 내공냠냠신고 광고신고 관련없는글 신고 이상한 글이나 저주글 신고
FDI 에 관해서 아시는분?,아는 중국인이 FDI를 통해서 수입을 얻는다고하던데... 투잡이래요... 저한테도 FDI를 알려준다고 해보라고하는데... 이거 혹시 사기아닌가요???
가방 브랜드를 알고 싶어요!,이렇게 큰 도트 프린트기 된 페브릭 가방이고 손잡이는 갈색 가죽으로 처리된거 같구요 숄더 끈도 있는 가방입니다. 브랜드를 알고 싶어요! 감사합니다!
꿈해몽-이빨에 실이 낀 꿈,이빨에 실이 꼈는데 엉킨실이 계속 나오고 실이 안빠져서 이빨근처에 있는 실을 잘랐어요 꿈해몽 해주세요
웃음이...,복수하니까 기분좋다 이건가요?
한국외대통번역 중국어!! (입학대출),빠른채택합니다@@@@@ 한국외대통번역을 진학을 하고싶은데요~ 1. 입학조건이 제가 알기로는 4년제 학위 그리고 중국어시험 이렇게 2개가 중요한거같은데 다른거 혹시 영어나 다른과목 시험 보나요?? 2. 한국외대통번역중국어과로 진하성공하면 학자금대출 가능한가요??
[나눈질문2] 계곡 찾아주세요 (사진 첨부),계곡 잦아주세요
대전 2030 등산 동아리 및 동호회, 회사 생활만 하며 지낼 수는 없고 자전거나 기타 구기종목에 해당하는 스포츠도 싫어하고 유일하게 좋아하는게 등산인데.... 회사분들하고 댕길 수도 없고 ㅋㅋㅋㅋㅋㅋ 암튼 대전에 2030세대 등상 동아리 동호회같은 것이 있을까요?? 있으면 추천 좀여... 가입방법도 같이
렌덤 다이스 조합좀 짜주세요 ㅠㅠ,제가 조커 주사위가 없어서 뭘 어떻게 해야할지 모르겠어요 알려즈새요 ㅠㅠ
녹산(지사동) 출퇴근,제가 이번에 지사동 쪽으로 출퇴근 하게 되었는데요 통근버스는 있는데 아침에 탈만한지 그리고 사람이 많다 했는데 퇴근시간쯤에 통근버스 타고 나올 수 있나요? 통근버스 탈거면 하단역 근처에서 원룸에서 통근버스 타고 회사까지 걸어다닐 예정이구요. 만약 본가에서 출퇴근 하면 경차 구입해서 출퇴근 할 예정이에요. 그런데 왕복 100km정도 됩니다. 원룸에 살아도 월세나 기타 등등해서 40만원 넘게 들것같고 자차 출퇴근면 통행료 20+기름값+차 유지비... 들겠네요. 혹시 경차로 왕복 100km 다닐때 예상되는 유류비도 알려주시면 좋...
캐디백 브랜드가 어디껀지 궁굼합니다.,혹시 알고 계신분 없을까요?? 알려주세요 ~|
관상학 개론등허리 에서검은점7개있어요,관상학 개론등허리 에서검은점7개있어요
보정동 볶고 사라졌나요,네이버에 쳐도 안 나오네요ㅠㅠ
수학 안보는 대학교,전 수학을 다니고 싶은데 가족이 어차피 너 문과니까 하지말라고 하는데 수학 안보는 인서울 대학교 있나요?? 경기도까지 알려주세요 ㅜㅜ
겨드랑이에 새 털이 자란 꿈,겨드랑이에 새 털이 자란 꿈 검은색 깃털이 아주 길고 오색빛이 나고 윤기가 나는 새 깃털이 겨드랑이에 많이 자라 있던데 무슨 꿈일까요?
아이스아메리카노,추첞ㅇ!ㅋㅋ추천
방탄 칠성사이다 포스터,빨리 말해주세요ㅠㅠㅠ 청주사는데 어디매장에팔아요 상당구 위주로 알려주세요 빨리요ㅠㅠㅠㅠㅠㅠ
개성있는 웨딩 프로모션,호텔 웨딩 프로모션을 만들어야하는데 기발한 아이디어 뭐가있을까요? 구체적으로요!
호텔관광고등학교 내신 반영이 어떻게,호텔관광고등학교 내신 반영이 어떻게 돼나요? 입문계 성적만큼돼야 한다던데 진짠가요?
베트남 전쟁에 관한것,여기가 어디에요? 제 생각엔 베트남 같아요 맞는좀여 내공 200입니다
저희가 친구랑 부산해운대에 2박3일로,저희가 친구랑 부산해운대에 2박3일로 놀러가기로햇는데 팬션이나 파티룸을 보고 잇어요 저희가 2월달에 갈예정이구요 가격도 괜찮으면서 많이 놀수잇는곳으로 고르고 잇어요.저희다합쳐서 7명이구요 어디 잼있게 놀면서 숙박할 그런곳 없을까요??ㅜㅜㅜ
JUMP vr ar SKT 5G 롤 이벤트 응모가 안됩니다 (내공 50),분명 점프 ar vr 다 깔아서 롤 이벤트를 하려하였으나 이벤트 보상 이미지가 응모 페이지를 다 가려서 응모 버튼이 안 눌러지는 상황입니다 왜이라는걸까요?
제주항공 어플 예매 질문,제주항공 어플로 포인트로 비행기 예매 했는데요 돈도 빠져나갔는데 왜 예약번호라던가 안내 문자 이런게 안올까요 문자 온거라곤 저 내용의 톡 하나밖에 없는데 혹시 예약이 안될걸까요? 돈도 빠져나갔는데 뭐가 문제일까요ㅠㅠㅠㅠㅠㅠ 포인트로 구매 분명 했는데 이상한게 구매 된건가
2020pba tour sk렌트카경기,2020pba tour sk렌트카경기일정은
아산원골농원 수영장,원골농원 수영장 물 깨끗한가여..? 물 매일 가는거겠져?
충무아트센터,3층 시야 정말 별로인가요 가지말아야할 정도로..? 사진에 빨간 점 두군데 중에 그나마 나은 곳은 어디일까요ㅜㅜ
인천명품구제,인천 컨테이너에서 새벽2시에 열리는 명품구제점 있다고 사는데 아시는분 혹시 있나요?
서울드래곤시티 호텔 헬스장,몇일뒤에 드래곤시티 호텔가는데 호텔헬스장 문 열었겠죠...?아시는분은 답변부탁드립니다
가끔씩 몸에 소름이 돋아요 장애가 있는 걸까요?,오돌오돌 올라오는 게 아니라 등 쪽에 소름이 돋아요 표현하자면 허리가 활처럼 휘고 어깨랑 목 뒷부분이 소름이 쫙 돋아요 왜 이러는 걸까요? 자주는 아닌데 잊을만하면 그래요 몇 년 됐어요 왜 이러는 거고 병인가요? 고칠 수는 있나요?
국제의료관광코디네이터 공인영어,이걸 만족시켜야하는데 영어 토플 터익 텝스 플렉스 등등 전부 따야하는건가요? 아님 여기서 몇개 골라서 따면 되는건가요?? 답변 부탁드립니다!!
가평 청평 대성리 쪽 전동 에어펌프 파는곳,청평이나 대성리 가평 초입에 에어펌프 파는 곳이 있나요?
태국어 노래추천,조건에 맞는 태국 노래 5곡정도 추천 부탁드려요. 조건 1. 태국어가 가사의 대부분인 곡 2. 여성 가수이고 남성 목소리 절대 안나오는 곡(피처링도 ×) 3. 발라드 댄스 EDM보다는 팝 느낌이 나는 곡
지바보가남바보만듣뜻,지바보가남바보만듣뜻
계곡 가서 노는꿈,남사친이랑 다른 모르는 애들이랑 계곡 놀러 가서 바위에 앉아 대화를 하다 다같이 저한테 물장구를 치는 꿈이 무슨 꿈일까요
대중교통으로 갈 수 있는 별 잘 보이는 숙소가 있을까요?,학생이라 차가 없구 아직 렌트도 안되서 대중교통을 타고 이동 하려고 하는데 별 잘 보이는 곳이 있을까요..? 기왕이면 숙소에서 보이는 곳이면 좋겠어요! 사는곳은 서울입니다! 잘 부탁드립니다!
나비캣 분양가,나비캣 브리티쉬숏헤어나 먼치킨 분양가가 보통 얼마정도 하나요?
내일채움공제 배민커넥터,안녕하세요. 제가 내일채움공제 3년형을 진행하는 중인데요. 배민커넥터를 우연히 알게 되어서 배달을 하였습니다. 근데 찾아보니 내일채움공제 가입한 사람은 이것을 하면 안된다 하더라구요.. 하루 딱 한건 배달을 했는데.. 문제가 있는건가요.. 어떻게 해결하면 좋을까요?? 내일채움공제 신청하고 다른 알바 같은거는 하면 안되는건가요..?..
내일 부모님이랑 7살조카랑 강원도 양,내일 부모님이랑 7살조카랑 강원도 양양에 낙산사 갔다가 속초에 중앙시장가서 구경도하고 물회 먹으려고 하는데 관광객말고 그동네분들이 가시는 진짜 깨끗하고 맛있는 물회집 알고 계시면 알려주세요.. 아빠 퇴직기념으로 가는거라 맛있는거 사드리고 싶어요 (광고사절x)
청주농업고등학교 질문이요,제가 지금 중3 여자인데요 청주농고를 가고싶은데요 1. 기숙사가 있다는걸로 아는데 들어가는 방법 알고싶습니다 2.두발규정이나 치마길이 화장해도되는지?그런거 알고싶습니다 3.그리고 제일 중요한거! 고등학교가서 남친 꼭 사귀고싶은데 남자..잘생겼나요??
안녕하세요. 이번에 제가 믿을만한중고,안녕하세요. 이번에 제가 믿을만한중고차 어디에 있을까 알아보게 되었는데요. 요즘 어느 곳이든 다 믿을만한중고차 다 이런 광고를 하더라고요. 정확한 믿을만한중고차가 어디에 있을까 찾게 되었습니다. 요즘 어디가 믿을만한중고차 일까요?? 광고성 없고 정말 확실한 믿을만한중고차 파는 곳을 찾고 싶네요. 아무래도 제가 이번에 첫 차다 보니 좀더 신중한거 같기도 하고요. 믿을만한중고차 정말 괜찮은 곳으로 찾아서 구매를 하고 싶은 생각이 강합니다. 어려분들께서 믿을만한중고차 어디가 있을지 정확히 좀 알려주세요! 믿을만한...
혹시 이 엔터테이먼트 정보 아시는분있나요??,그레이트엠라는 엔터테이먼트에 대해서 아시는 거있으시나요??? 그레이트엠이란곳이 좋나요??? 어라운드어스란곳이 더 좋나요??? 그레이트엠에 대해 알려주세요!!!!!
강릉 주문진 강릉정보공업고등학교 근처 집,강릉 주문진 강릉정보공업고등학교 근처에 고시원이나 싼 원룸 있나요 ....?
티머니 카드,경남 김해에 방탄 티머니카드 어디어다 파는지 알 수 있나요?
석조점 관람,재가 내일 가족이랑 석조전을 갈려고 하는데 무슨 예약을 하더라구요 예약않하면 못 가나요? 갈지 않갈지 확실하지도않고 무슨 1주일전에 예약하라고 해서요 정확하게 말해주세요
석조점 관람,재가 내일 가족이랑 석조전을 갈려고 하는데 무슨 예약을 하더라구요 예약않하면 못 가나요? 갈지 않갈지 확실하지도않고 무슨 1주일전에 예약하라고 해서요 정확하게 말해주세요
제가 시험때문에 배재대갈일이잇는데 혹,제가 시험때문에 배재대갈일이잇는데 혹시 배재대 근처에 좋은모텔이나 묵을곳 잇나요?
모찌 인형!,에버랜드에서 팔는 너구리 모찌인형 어디서 사나요?
자갈 흙마당 화재,안녕하세요 개인 펜션 자갈흙마당 모닥불 화재 가능성에 대해 질문드립니다. 자갈 치우고 흙있는곳에 장작 태웠는데 화재 가능성은 있을까요? 작은불씨도 화재 남는다는데 너무 궁금합니다ㅜㅜ... 그리고 당시에는 화재 안나지만 며칠 지나면 화재가 있을까요?
소방 체력 도핑테스트,7월 16일에 체력시험 있는데 지금 먹고있는 뉴욕웨이 프로틴 제품 먹어되 되나요? 성분사진 첨부합니당. 고수님들 답변 부탁드립니다.
김해 스케이트파크 운영?,김해 스케이트파크 요즘 가도 이용가능한가요?
유명산 자연휴양림 야영장 온수 가능?,유명산 자연휴양림 야영데크를 예약했습니다. 샤워시설 있는지 있다면 온수로 샤워 사용 가능한지 여쭙니다.
화천  여행 가는데,화천 당일치기 여행 가는데 가족들과 갈만한곳 있을까요? 드라이브코스도좋고 맛집도좋습니다 현지인분들 추천해주세요
산타모니카 해변 형성원인,고3 세계지리 수행평가인데 여행가고 싶은 지역의 자연지리적 명소를 고르는 거에요. 저는 LA를 선택해서 산타모니카 해변이란 베니스 비치 콩비치 를 조사하려하는데 이 세 해변의 지형과 기후 특성과 관련해서 형성 원인 알려주실 수 있나요??? 자세히는 아니여도 괜찮아요.
서울랜드 설득하기,저는 이제 중1이 된 여학생 입니다. 오늘은 금요일 이고 저는 일요일에 친구와 서울랜드를 가려고합니다 원래는 엄마께서 친구들끼리 가는줄 알고 허락아닌 허락을 해주셨지만 저와 친구 두명이서 간다는걸 아시고 반대하셨습니다. 정확히 말하자면 아빠가 반대하셨습니다 저는 아빠를 설득하려고 공부 엄청 열심히 해서 오늘 시험도 한개 밖에 안틀렸는데도 엄마는 이 사실을 모르겠죠 제가 열심히 한 사실을. 그리고 그 친구가 요즈음 공부에 대한 스트레스를 받고있다네요 그러면서 놀이공원에서 스트레스 다 풀고 오고싶다고 하며 저...
경기도 고등학교,경기도에 사립 고등학교들이 뭐가 있나요? 다 알려주셨으면 합니다..
김준현의 피자 헤븐 대만감자 어떤가요?,헤븐에서 피자시켜먹으려 하는데 대만감자 평이 좋아서요. 이번에 간만에 거금 투자에서 교회 그룹에서 먹으려하는데 궁금합니다!
에르메스 벨트 정가품 구별,친구가 자꾸 자랑합니다 정품인가요?
인천 상업계열 특성화고,인천상업계열 특성화고가 뭐뭐 있는지 알려주세요
계곡물 불어나는 기준,비가 오면 계곡물이 불어나는데 얼마나 와야 영향을 끼칠만큼 불어나나요?(내공100이요)
남편이 대만인텔로 출장을 갑니다촉박하,남편이 대만인텔로 출장을 갑니다촉박하게 하얏트와 리젠시 호텔중 고르는건데...대만 인텔과 가까운 호텔은 무엇이며 관광하기좋은 호텔은 어디인가요
마림바 연주곡,2016년 전에 멜론차트에도 있던곡인데 가사는 없엇던거같고 약간 신나는 음이고 마림바 소리인거같은데 외국곡이구용 저는 들엇을때 남미쪽 스페인이나 멕시코쪽 음악같아서 그쪽만 뒤져봣는데 아프리카쪽 음악같기도하고ㅠㅠ 혹시 아실분 계실까요? 제목이 언뜻 기억나기로 wave . weve 이런 제목이엇던거같은데.. 괜히 혼란스러워지니까 일단 생각나는곡 잇음 댓글좀 달아주세용!
내년에 폴란드로 갈 2006년생입니다,내년에 폴란드로 갈 2006년생입니다 제가 베트남에서 7살까지 살았고 4년 반정도 살았었어요 그리고 한국에서는 초1부터 중2까지 지낼거예요 폴란드로 이사를 가는데 3년반정도 살것 같아요 제가 이제 중2이고 해외는 1월 중순쯤에 2학기 시작이라 학년이 좀 애매한데 제가 들어가면 고1 2학기로 들어가야 나이가 맞는데 또 폴란드 국제학교를 보니까 고등학교가 4년이라 한국 중3 나이에 고1이라서 고1로 들어가야 대학교 들어갈 때 특례 시험으로 들어갈꺼라서 지장이 없거든요 제가 생일이 9월 중순이라 원래는 거기서 밑에 반으로 들...
프롬프트 문제,1~100 까지 숫자 중 2의 배수를 00는 2의 배스 라고 출력하시오 == / // while if
전기차 렌트의 경우는 우도 에 들어갈전기차 렌트의 경우는 우도 에 들어갈수 있다? 우도 가볼만한곳 핫한 데부터 숨겨진 비밀경치까지다 구석구석,전기차 렌트의 경우는 우도 에 들어갈수 있다? 우도 가볼만한곳 핫한 데부터 숨겨진 비밀경치까지다 구석구석 전기차 렌트의 경우는 우도에 들어갈수 있다고 검색하니까 나오던데 전기차도 반입이안된다면 무조건 우도에서 렌트를 추가로 해야만 하나요? 한다면 어디가 가격이 좀 싼편인지 궁금하네요. 우도 를 한바퀴 여행한다면 나름 괜찮은 코스 구성으로 다니고싶은데 카페 슈가**크 나 블란**쉐 이두곳 어떤가요. 한쪽은 남자들이 좋아할 존멋이 있고 한쪽은 제주가면 늘상 갔던 오션뷰타입 카페인데 지갑사정 생각해서 둘중에 한곳...
한양대에리카 광고홍보학과,한양대에리카의 광고홍보학과 취업률은 어떻게 되나요? 정시 몇정도가 갈수있나요?? 광고홍보학과 취업률 높은곳 추천해주세요
고양엠블에서 김포공항가는 버스시간표,고양엠블에서 김포공항가는 버스시간표 알수 있을까요??
일산 원마운트 스노우파크 여름엔 안하나요? 365일로 알고있는데...,일산 원마운트 스노우파크 여름엔 안하나요? 365일로 알고있는데...
합천 해인사의 대장경판교,해인사의 대장경판고 같은 해외 장소 좀 알려주세요 여러곳
중국 문화 관련 기사,중국 문화(음식 전통 등) 관련 기사 알려주세요(링크 등)
인천(월미도) 스텔라마리스호텔 양도 받으실분( 7월 3일~4일),갑자기 못가게 되서 양도합니다 엄청엄청 싸게 드릴께요 연락주세요ㅠㅠ
하이난 캠핀스키리조트로 계획하고 있는,하이난 캠핀스키리조트로 계획하고 있는데 리조트 외에 원숭이 섬과 송성가무쇼도 볼 계획입니다.하이난이 상당히 크던데 캠핀스키리조트에서 위 관광지와의 거리가 어떻게 되는지 궁금합니다.캠핀스키 외에 바닷가와 인접해 있으면서 관광지와도 가까운 곳 있으면 알려주세요여행일정도 추천해 주시면 감사하겠습니다.
입실초등 41회 동기회 모임,입실초등 41회 동기회 모임
강릉 ㅡ탑스텐호텔부페예약일?,강릉 ㅡ탑스텐호텔부페예약일?
백리포 해수욕장,백리포 해수욕장 pc방 있나요(바둑이 맞고)
통영시 방역,통영시에 민원 넣고 답변 오기를 방역에 최선을 다하겠다는 내용이 있었는데 방역하는거 보신 분 있나요? 방역을 거의 안해서...설문조사때 사용할려고 질문합니다.좋은 답변 바로 채택합니다
인천교육재난지원금얼마인가요,인천교육재난지원금얼마인가요
미국과의 교류방법,미국과의 교류방법 좀 자세하게 알려주세요!
숙소 위치 좀 찾아주세요ㅠㅠ (내공 100 사진첨부),숙소 위치 좀 찾아주세요ㅠㅠ... 일단 바로 앞에 바다가 있고 1층이 조개구이집 23층이 숙소? 펜션? 이라고 들었어요 제가 아는 건 이정도 뿐이고 내부 사진 첨부할테니 집히는 곳이 있으시다면 제발 대충이라도 위치 좀 댓글로 남겨주세요ㅠㅠ
